,id,best.universe.redshift,Comments
210,10446,1.22,
211,10452,5.23,
212,10535,0.63,
213,10559,5.23,
214,10597,8.0,
215,10621,2.7,
216,10639,4.65,
217,10677,4.65,
218,10773,,
219,10780,0.73,
220,10795,3.75,
221,10813,1.41,
222,10860,5.63,
223,10886,2.44,
224,10940,0.8,
225,10961,2.54,
226,11016,1.92,
227,11115,1.26,
228,11148,0.75,
229,11168,2.87,
230,11170,1.55,
231,11188,,
232,11226,2.48,
233,11227,5.24,
234,11231,1.6600000000000001,
235,11239,3.04,
236,11259,1.53,
237,11274,4.53,
238,11281,0.72,
239,11332,1.41,
240,11366,3.5300000000000002,
241,11370,11.620000000000001, Very unlikely (missing lines)                  
242,11371,4.0,
243,11409,3.13,
244,11639,3.69,
245,11739,4.68,
246,11742,4.14,
247,11748,2.48,
248,11835,7.07,
249,11932,1.8900000000000001,
250,11954,0.64,
251,11955,1.82,
252,12016,2.33,
253,12037,3.29,
254,12245,2.47,
255,12396,2.48,
256,12659,3.71,
257,13054,0.9500000000000001,
258,13084,0.65,
259,13250,0.58,
260,13301,3.7600000000000002,
261,13302,1.69,
262,13373,5.24,
263,13456,0.93,
264,13561,0.76,
265,13574,4.11,
266,13575,0.61,
267,13640,3.84,
268,13668,4.72,
269,13708,3.7600000000000002,
270,13756,1.42,
271,13783,3.85,
272,14023,1.87,
273,14055,0.12,
274,14080,3.73,
275,14113,1.12,
276,14119,,
277,14162,,
278,14165,3.39,
279,14180,2.14,
280,14203,3.1,
281,14217,0.43,
282,14245,1.26,
283,14349,2.56,
284,14350,,
285,14513,,
286,14574,3.6,
287,14575,4.1,
288,14579,1.9000000000000001,
289,14618,1.1500000000000001,
290,14640,1.3,
291,14718,0.5700000000000001,
292,14731,1.77,
293,14738,5.25,
294,14779,3.11,
295,14802,3.0,
296,14863,0.36,
297,14951,5.28,
298,14970,4.53,
299,14982,3.42,
300,15017,2.75,
301,15049,3.45,
302,15230,2.18,
303,15351,1.92,
304,15390,0.68,
305,15613,1.9100000000000001,
306,15616,1.28,
307,15656,5.87,
308,15659,1.3,
309,15661,5.58,
310,15722,0.8300000000000001,
311,15798,3.98,
312,15810,2.69,
313,15852,1.67,
314,15880,3.2600000000000002,
315,15887,0.51,
316,15944,4.4,
317,16135,0.67,
