ID,ra,dec,z_med,z_UNICORN
138743,150.1622592,2.3489276,,5.68
23708,150.1566126,2.3515249,,4.66
94804,150.1547309,2.2555065,,6.61
109571,150.1404801,2.2873717,,5.65
100871,150.0652403,2.2686099,,5.65
113091,150.0988773,2.2949773,,5.65
10860,150.1206758,2.4207504,,5.65
169644,150.1512535,2.4609882,,5.65
198501,150.1144598,2.2102887,,6.31
183764,150.1270529,2.4144626,,9.01
95492,150.0612063,2.2570676,,6.22
106610,150.0621422,2.2812672,,5.8
64185,150.1274525,2.1669801,,5.62
19540,150.1554929,2.3722701,,5.62
172440,150.174522,2.4506163,,5.62
115974,150.1781493,2.3010216,,5.59
15798,150.1808883,2.3921556,,5.59
100517,150.1489216,2.2678451,,6.58
171917,150.1739907,2.4537812,,5.98
164179,150.1641103,2.481061,,5.56
134215,150.1748371,2.3399651,,5.65
177303,150.1470223,2.4373627,,6.85
78796,150.135789,2.2149311,,5.53
37101,150.1362644,2.2847947,,5.53
88982,150.1506115,2.2409507,,5.53
87111,150.0669051,2.236652,,5.53
160637,150.1178599,2.3942162,,5.53
45305,150.1516924,2.24004,,5.5
34050,150.1638845,2.300192,,5.5
19903,150.0878824,2.3703922,,2.5
106538,150.1675109,2.2811328,,5.47
108966,150.1749962,2.2860565,,5.47
37054,150.0614505,2.2850415,,5.47
69092,150.1275571,2.1875147,,5.44
44808,150.0635133,2.243093,,5.44
137403,150.1673842,2.3463624,,5.44
78700,150.135395,2.2146656,,5.41
97724,150.1844794,2.2618533,,5.41
37093,150.0938706,2.2847147,,2.41
180173,150.1090828,2.4275397,,6.61
91591,150.0701533,2.2473247,,5.38
159910,150.1352668,2.3924474,,5.44
96871,150.0940581,2.260095,,6.13
153475,150.126414,2.3782955,,5.71
165207,150.1467828,2.4770975,,5.32
157136,150.118369,2.3864361,,6.19
101654,150.1476045,2.2703809,,6.07
68587,150.1101811,2.185775,,6.79
112027,150.1243299,2.2928264,,5.26
155579,150.1872051,2.3829404,,5.26
94772,150.0800495,2.2554419,,6.7
78945,150.0955136,2.2153685,,5.23
34068,150.1722349,2.3000372,,5.23
93597,150.0718792,2.2525122,,5.23
35830,150.1774879,2.2914561,,5.23
168143,150.1078941,2.4237222,,5.23
182333,150.1512859,2.419286,,6.01
176943,150.1698757,2.4364267,,6.34
128172,150.1220513,2.3271953,,6.61
73110,150.1486584,2.1995595,,5.2
79498,150.1537406,2.2165944,,5.2
90786,150.1576621,2.2453623,,5.2
95192,150.1875576,2.2564284,,5.2
97987,150.0762438,2.2624132,,5.2
156061,150.1193057,2.3840736,,5.2
138620,150.1988768,2.3486715,,5.2
168649,150.1626563,2.4686638,,5.2
171007,150.1376549,2.454861,,5.2
121144,150.1173875,2.3122055,,6.91
181228,150.1501954,2.4245175,,7.54
72522,150.1124296,2.1980102,,5.17
75555,150.1188382,2.2066381,,5.17
44446,150.1787049,2.2453254,,5.17
84513,150.1550768,2.2297341,,5.17
45252,150.076926,2.2404151,,5.17
94786,150.0795994,2.255469,,5.17
98607,150.1065436,2.2637177,,5.17
26930,150.1461664,2.3356079,,5.17
34680,150.1657522,2.2972794,,5.17
37047,150.1476561,2.2850546,,5.17
105937,150.1525548,2.279867,,5.17
112644,150.1739254,2.2941356,,5.17
13373,150.075278,2.4056054,,5.17
18148,150.1263038,2.3793643,,5.17
190610,150.1166991,2.3993899,,5.17
19659,150.199858,2.3717403,,5.17
131157,150.1707347,2.333254,,5.17
137151,150.192858,2.3459512,,5.17
8506,150.1429244,2.4375341,,5.17
162387,150.131136,2.473325,,5.17
170442,150.1661576,2.4700991,,5.17
51899,150.1499473,2.1990767,,5.14
36057,150.1742255,2.2902648,,5.14
133896,150.1529012,2.3392312,,5.14
183554,150.1337946,2.4159716,,5.71
159174,150.1915775,2.3908363,,5.11
10119,150.1359368,2.4261455,,5.11
