               sample          id       pointing  MPT_number   z_manual  z_gaussian                                    optext
102   CAPERS_EGS_V0.2  s000003760             P3        3760   4.510000    4.524449  CAPERS_EGS_P3_s000003760_x1d_optext.fits
103   CAPERS_EGS_V0.2  s000003769             P2        3769   1.390000    1.389600  CAPERS_EGS_P2_s000003769_x1d_optext.fits
104   CAPERS_EGS_V0.2  s000003879             P2        3879   2.970000    2.976633  CAPERS_EGS_P2_s000003879_x1d_optext.fits
105   CAPERS_EGS_V0.2  s000003886             P1        3886  -1.000000   -1.000000  CAPERS_EGS_P1_s000003886_x1d_optext.fits
106   CAPERS_EGS_V0.2  s000003937             P1        3937   1.246222    1.253838  CAPERS_EGS_P1_s000003937_x1d_optext.fits
107   CAPERS_EGS_V0.2  s000003958             P1        3958   1.350000    1.352554  CAPERS_EGS_P1_s000003958_x1d_optext.fits
108   CAPERS_EGS_V0.2  s000003987             P1        3987   5.785128   -1.000000  CAPERS_EGS_P1_s000003987_x1d_optext.fits
109   CAPERS_EGS_V0.2  s000004014             P1        4014   6.660000    6.668461  CAPERS_EGS_P1_s000004014_x1d_optext.fits
110   CAPERS_EGS_V0.2  s000004029             P4        4029  -1.000000   -1.000000                                       NaN
111   CAPERS_EGS_V0.2  s000004165             P2        4165  -1.000000   -1.000000  CAPERS_EGS_P2_s000004165_x1d_optext.fits
112   CAPERS_EGS_V0.2  s000004186             P3        4186  -1.000000   -1.000000  CAPERS_EGS_P3_s000004186_x1d_optext.fits
113   CAPERS_EGS_V0.2  s000004208             P1        4208  -1.000000   -1.000000  CAPERS_EGS_P1_s000004208_x1d_optext.fits
114   CAPERS_EGS_V0.2  s000004264             P2        4264   2.377433    2.366291  CAPERS_EGS_P2_s000004264_x1d_optext.fits
115   CAPERS_EGS_V0.2  s000004300             P1        4300   2.023050    2.007592  CAPERS_EGS_P1_s000004300_x1d_optext.fits
116   CAPERS_EGS_V0.2  s000004347             P1        4347   8.802078    8.794752  CAPERS_EGS_P1_s000004347_x1d_optext.fits
117   CAPERS_EGS_V0.2  s000004353             P4        4353   3.210000    3.214194  CAPERS_EGS_P4_s000004353_x1d_optext.fits
118   CAPERS_EGS_V0.2  s000004367             P4        4367  -1.000000   -1.000000  CAPERS_EGS_P4_s000004367_x1d_optext.fits
119   CAPERS_EGS_V0.2  s000004371             P1        4371  -1.000000   -1.000000  CAPERS_EGS_P1_s000004371_x1d_optext.fits
120   CAPERS_EGS_V0.2  s000004373             P2        4373   0.719882    0.719442  CAPERS_EGS_P2_s000004373_x1d_optext.fits
121   CAPERS_EGS_V0.2  s000004393             P4        4393   1.710000    1.727014  CAPERS_EGS_P4_s000004393_x1d_optext.fits
122   CAPERS_EGS_V0.2  s000004399             P2        4399   4.739029    4.725032  CAPERS_EGS_P2_s000004399_x1d_optext.fits
123   CAPERS_EGS_V0.2  s000004407             P3        4407  -1.000000   -1.000000  CAPERS_EGS_P3_s000004407_x1d_optext.fits
124   CAPERS_EGS_V0.2  s000004413             P1        4413   4.622224   -1.000000  CAPERS_EGS_P1_s000004413_x1d_optext.fits
125   CAPERS_EGS_V0.2  s000004427             P3        4427   2.300000    2.300518  CAPERS_EGS_P3_s000004427_x1d_optext.fits
126   CAPERS_EGS_V0.2  s000004451             P1        4451   4.904051   -1.000000  CAPERS_EGS_P1_s000004451_x1d_optext.fits
127   CAPERS_EGS_V0.2  s000004452             P1        4452   0.910220    0.917997  CAPERS_EGS_P1_s000004452_x1d_optext.fits
128   CAPERS_EGS_V0.2  s000004469             P3        4469   1.190000    1.188070  CAPERS_EGS_P3_s000004469_x1d_optext.fits
129   CAPERS_EGS_V0.2  s000004471             P1        4471   3.061918    3.070772  CAPERS_EGS_P1_s000004471_x1d_optext.fits
130   CAPERS_EGS_V0.2  s000004503             P1        4503  -1.000000   -1.000000  CAPERS_EGS_P1_s000004503_x1d_optext.fits
131   CAPERS_EGS_V0.2  s000004521             P3        4521   0.881866    0.893558  CAPERS_EGS_P3_s000004521_x1d_optext.fits
132   CAPERS_EGS_V0.2  s000004595             P4        4595   4.275277    4.277139  CAPERS_EGS_P4_s000004595_x1d_optext.fits
133   CAPERS_EGS_V0.2  s000004625             P2        4625  -1.000000   -1.000000  CAPERS_EGS_P2_s000004625_x1d_optext.fits
134   CAPERS_EGS_V0.2  s000004652             P2        4652   2.570000    2.574135  CAPERS_EGS_P2_s000004652_x1d_optext.fits
135   CAPERS_EGS_V0.2  s000004663             P1        4663  -1.000000   -1.000000  CAPERS_EGS_P1_s000004663_x1d_optext.fits
136   CAPERS_EGS_V0.2  s000004670             P3        4670   2.646570   -1.000000  CAPERS_EGS_P3_s000004670_x1d_optext.fits
137   CAPERS_EGS_V0.2  s000004671             P3        4671  -1.000000   -1.000000  CAPERS_EGS_P3_s000004671_x1d_optext.fits
138   CAPERS_EGS_V0.2  s000004675             P4        4675  -1.000000   -1.000000  CAPERS_EGS_P4_s000004675_x1d_optext.fits
139   CAPERS_EGS_V0.2  s000004704             P3        4704   2.010000    2.022077  CAPERS_EGS_P3_s000004704_x1d_optext.fits
140   CAPERS_EGS_V0.2  s000004927             P3        4927   3.226792    3.227232  CAPERS_EGS_P3_s000004927_x1d_optext.fits
141   CAPERS_EGS_V0.2  s000004942             P3        4942  -1.000000   -1.000000                                       NaN
142   CAPERS_EGS_V0.2  s000004984             P3        4984   2.979874    2.981853  CAPERS_EGS_P3_s000004984_x1d_optext.fits
143   CAPERS_EGS_V0.2  s000005346             P3        5346  -1.000000   -1.000000  CAPERS_EGS_P3_s000005346_x1d_optext.fits
144   CAPERS_EGS_V0.2  s000005364             P3        5364  -1.000000   -1.000000  CAPERS_EGS_P3_s000005364_x1d_optext.fits
145   CAPERS_EGS_V0.2  s000005370             P4        5370   3.100612    3.102520  CAPERS_EGS_P4_s000005370_x1d_optext.fits
146   CAPERS_EGS_V0.2  s000005496             P2        5496   1.014152   -1.000000  CAPERS_EGS_P2_s000005496_x1d_optext.fits
147   CAPERS_EGS_V0.2  s000005497             P4        5497  -1.000000   -1.000000  CAPERS_EGS_P4_s000005497_x1d_optext.fits
148   CAPERS_EGS_V0.2  s000005500             P1        5500  -1.000000   -1.000000  CAPERS_EGS_P1_s000005500_x1d_optext.fits
149   CAPERS_EGS_V0.2  s000005515             P2        5515  -1.000000   -1.000000                                       NaN
