ID,ra,dec,z_med,z_UNICORN
86991,214.8817899,52.8796798,,8.08
19837,214.9514995,52.8683038,,8.08
211151,214.9217466,52.8569818,,8.04
10321,214.8475875,52.853382,,3.58
21120,214.9623628,52.870038,,3.43
9961,214.9456404,52.9242436,,1.69
83939,214.9447631,52.9314509,,7.99
239545,214.8027128,52.8468052,,7.98
87842,214.9899753,52.9560153,,7.96
36016,214.9938337,52.8545992,,7.45
66894,214.9430341,52.9747304,,8.11
49941,214.8538744,52.7853939,,7.81
93706,214.8683333,52.8503105,,7.78
239047,214.9904648,52.9719968,,7.7
215739,215.0803487,52.9932406,,7.67
82168,214.9348803,52.9292704,,7.66
68009,214.9329792,52.9649047,,7.6
11072,214.9660406,52.9331381,,6.55
19346,214.8868102,52.8246313,,6.43
42841,214.8804556,52.7889916,,7.51
7816,214.9501072,52.9381959,,1.75
9027,214.8642794,52.8710715,,5.47
7061,214.9857054,52.9675553,,5.44
27083,215.0060456,52.8747953,,6.34
12737,214.8781952,52.8609248,,5.32
202922,214.9320455,52.8182171,,3.29
15045,214.9360286,52.8867917,,5.83
82104,214.9280273,52.9247011,,7.27
28516,214.8669179,52.76928,,5.23
93093,214.8250937,52.8226581,,7.18
67844,214.8668774,52.9186304,,7.15
37018,214.8575087,52.7598382,,7.9
90593,214.8957976,52.8802573,,8.11
23597,214.9435273,52.8456641,,7.03
62277,214.9335526,52.8728973,,11.53
42985,214.8901599,52.7961846,,7.0
12561,214.9478194,52.9111785,,3.61
4927,214.9049624,52.9224081,,3.22
10563,214.8598339,52.8606556,,3.22
13796,214.8762894,52.8523455,,2.71
17740,214.9470222,52.8761591,,1.69
20330,214.927617,52.8479522,,1.57
18465,214.9547359,52.8765664,,0.52
11333,214.942458,52.9147233,,6.97
53589,214.7950455,52.7515031,,6.97
12953,214.8277364,52.8237682,,2.95
85998,215.042724,52.9955583,,6.94
38164,214.856231,52.7614407,,6.94
37891,214.9440831,52.8233785,,6.94
92733,214.907747,52.8824883,,6.91
19850,214.8538915,52.7988928,,6.91
90680,214.8782374,52.8704535,,6.91
10229,214.8943247,52.8870946,,6.88
75276,215.016627,53.0054686,,6.79
10292,214.9630219,52.9354749,,6.79
98085,214.963912,52.9096716,,6.79
96466,214.8099174,52.8033073,,6.79
84168,214.9538801,52.9382441,,6.76
18842,214.8822457,52.8246498,,6.76
22851,214.8121241,52.7554166,,6.76
23968,214.8182249,52.7547779,,6.76
73035,214.9386147,52.9568762,,6.88
85666,214.9950768,52.9624529,,6.73
36440,214.8716383,52.7686725,,6.73
97643,214.8185021,52.8035256,,6.73
97779,214.7945555,52.786038,,6.73
57821,214.9548232,52.8750912,,6.73
13283,214.949419,52.9078667,,4.72
35755,214.8691484,52.7654826,,6.7
4014,215.0109283,53.0030097,,6.67
73318,214.9996452,52.999207,,6.67
95615,214.824572,52.8138757,,6.67
25024,214.8781207,52.7929606,,6.67
36651,214.856003,52.7579622,,6.67
46509,214.8137948,52.7495544,,6.67
30396,215.0105728,52.8633367,,6.67
18152,214.8640349,52.8153609,,4.66
201810,214.9277903,52.8083649,,6.65
85231,214.9888519,52.9589765,,6.64
1034,214.8690739,52.9188919,,6.64
26408,214.8907189,52.7958162,,6.64
11968,214.8588165,52.8514716,,4.63
220915,215.0091739,52.9692589,,6.62
90819,214.9558633,52.9232754,,6.61
