ID,ra,dec,z_med,z_UNICORN,flux_F277W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
90729,214.8120823,52.8203895,,4.9,28.13,134,[4],[0],[0],[6],5689.6671,['Midpoint']
81009,214.9452192,52.9396397,,4.24,27.909,132,[2],[0],[6],[0],5689.6671,['Midpoint']
64876,214.9326941,52.8812707,,4.24,27.697,132,[6],[6],[0],[0],5689.6671,['Midpoint']
82932,214.9221586,52.9188861,,4.24,28.002,131,[3],[0],[6],[0],5689.6671,['Midpoint']
4427,214.8759094,52.9046083,,2.23,21.959,130,[3],[0],[6],[0],5689.6671,['Midpoint']
48767,214.9788063,52.8717676,,5.14,28.217,129,[6],[4],[4],[0],7586.2228,['Midpoint']
40036,214.9609161,52.8398948,,4.36,28.027,129,[7],[0],[0],[6],5689.6671,['Midpoint']
39192,214.8661782,52.7707195,,5.44,28.454,127,[5],[6],[0],[6],11379.3342,['Midpoint']
14745,214.8333073,52.815812,,4.21,27.53,127,[4],[6],[0],[0],5689.6671,['Midpoint']
14189,214.9038636,52.8692816,,2.2,23.197,126,[3],[0],[6],[0],5689.6671,['Midpoint']
75586,215.0165187,53.0049365,,7.96,29.16,125,[1],[6],[0],[0],5689.6671,['Midpoint']
95458,214.8710134,52.8489531,,5.14,28.191,124,[7],[6],[0],[0],5689.6671,['Midpoint']
63964,214.9343962,52.8781489,,4.84,28.13,124,[6],[0],[6],[0],5689.6671,['Midpoint']
219977,215.0543847,52.9968067,,4.19,-1.0,124,[1],[0],[6],[0],5689.6671,['Midpoint']
83930,214.859181,52.8706842,,6.55,28.475,122,[4],[0],[0],[6],5689.6671,['Midpoint']
78778,214.9578369,52.9546483,,4.54,28.077,120,[2],[6],[0],[0],5689.6671,['Midpoint']
18416,214.9498476,52.8756042,,4.15,27.046,119,[6],[0],[6],[0],5689.6671,['Midpoint']
236832,214.9907786,52.93396,,4.14,-1.0,118,[2],[2],[6],[0],7586.2228,['Midpoint']
83532,214.8405263,52.8584853,,4.69,28.16,117,[4],[6],[0],[0],5689.6671,['Midpoint']
44376,214.942905,52.8368124,,6.73,28.817,116,[6],[0],[6],[0],5689.6671,['Midpoint']
54657,214.9573775,52.869418,,4.72,28.153,116,[3],[0],[0],[6],5689.6671,['Midpoint']
1216,214.9296853,52.9608924,,4.12,27.939,115,[2],[6],[0],[0],5689.6671,['Midpoint']
11054,214.9367043,52.9126764,,4.12,25.651,115,[3],[6],[0],[0],5689.6671,['Midpoint']
11894,214.8655308,52.8566339,,4.12,24.541,115,[4],[0],[0],[6],5689.6671,['Midpoint']
61415,214.8586831,52.8172323,,4.12,27.698,115,[4],[6],[0],[0],5689.6671,['Midpoint']
95937,214.8810814,52.8529709,,4.12,27.745,115,[4],[0],[0],[6],5689.6671,['Midpoint']
55032,214.8010878,52.7590296,,4.12,27.61,115,[5],[0],[6],[0],5689.6671,['Midpoint']
17379,214.9166847,52.8583043,,4.12,26.336,115,[6],[6],[0],[0],5689.6671,['Midpoint']
17977,214.9497525,52.878306,,4.12,27.149,115,[6],[0],[6],[0],5689.6671,['Midpoint']
22559,214.941585,52.8490039,,4.12,26.756,115,[6],[0],[0],[6],5689.6671,['Midpoint']
22893,214.9357136,52.8430971,,4.12,25.752,115,[6],[0],[0],[6],5689.6671,['Midpoint']
37131,214.9843946,52.8502655,,4.12,27.098,115,[6],[6],[0],[0],5689.6671,['Midpoint']
53143,214.9844833,52.8853347,,4.12,27.777,115,[6],[6],[0],[0],5689.6671,['Midpoint']
62079,214.9418882,52.8782051,,4.12,27.712,115,[6],[6],[0],[0],5689.6671,['Midpoint']
23155,214.950778,52.8526763,,4.12,26.736,115,[7],[0],[6],[0],5689.6671,['Midpoint']
52496,214.9867392,52.8855283,,5.11,28.203,112,[6],[0],[6],[0],5689.6671,['Midpoint']
