file,zfit,ID,Field,Pointing
CAPERS-COSMOS_P1_s000065944_x1d.fits,2.81,65944,COSMOS,1
CAPERS-COSMOS_P1_s000067005_x1d.fits,0.98,67005,COSMOS,1
CAPERS-COSMOS_P1_s000067222_x1d.fits,1.9,67222,COSMOS,1
CAPERS-COSMOS_P1_s000067231_x1d.fits,4.52,67231,COSMOS,1
CAPERS-COSMOS_P1_s000067353_x1d.fits,1.94,67353,COSMOS,1
CAPERS-COSMOS_P1_s000067391_x1d.fits,2.05,67391,COSMOS,1
CAPERS-COSMOS_P1_s000067402_x1d.fits,0.71,67402,COSMOS,1
CAPERS-COSMOS_P1_s000067472_x1d.fits,0.84,67472,COSMOS,1
CAPERS-COSMOS_P1_s000067540_x1d.fits,0.79,67540,COSMOS,1
CAPERS-COSMOS_P1_s000067705_x1d.fits,6.34,67705,COSMOS,1
CAPERS-COSMOS_P1_s000067795_x1d.fits,4.52,67795,COSMOS,1
CAPERS-COSMOS_P1_s000067941_x1d.fits,3.94,67941,COSMOS,1
CAPERS-COSMOS_P1_s000068006_x1d.fits,2.79,68006,COSMOS,1
CAPERS-COSMOS_P1_s000068008_x1d.fits,0.83,68008,COSMOS,1
CAPERS-COSMOS_P1_s000068159_x1d.fits,1.25,68159,COSMOS,1
CAPERS-COSMOS_P1_s000068199_x1d.fits,1.91,68199,COSMOS,1
CAPERS-COSMOS_P1_s000068296_x1d.fits,3.25,68296,COSMOS,1
CAPERS-COSMOS_P1_s000068587_x1d.fits,6.87,68587,COSMOS,1
CAPERS-COSMOS_P1_s000068595_x1d.fits,5.75,68595,COSMOS,1
CAPERS-COSMOS_P1_s000068667_x1d.fits,2.24,68667,COSMOS,1
CAPERS-COSMOS_P1_s000068854_x1d.fits,2.89,68854,COSMOS,1
CAPERS-COSMOS_P1_s000068858_x1d.fits,6.8,68858,COSMOS,1
CAPERS-COSMOS_P1_s000068973_x1d.fits,6.78,68973,COSMOS,1
CAPERS-COSMOS_P1_s000069023_x1d.fits,3.23,69023,COSMOS,1
CAPERS-COSMOS_P1_s000069044_x1d.fits,4.49,69044,COSMOS,1
CAPERS-COSMOS_P1_s000069049_x1d.fits,0.22,69049,COSMOS,1
CAPERS-COSMOS_P1_s000069092_x1d.fits,6.77,69092,COSMOS,1
CAPERS-COSMOS_P1_s000069093_x1d.fits,5.99,69093,COSMOS,1
CAPERS-COSMOS_P1_s000069164_x1d.fits,2.08,69164,COSMOS,1
CAPERS-COSMOS_P1_s000069306_x1d.fits,0.34,69306,COSMOS,1
CAPERS-COSMOS_P1_s000069582_x1d.fits,4.31,69582,COSMOS,1
CAPERS-COSMOS_P1_s000070067_x1d.fits,3.9,70067,COSMOS,1
CAPERS-COSMOS_P1_s000070273_x1d.fits,6.77,70273,COSMOS,1
CAPERS-COSMOS_P1_s000070650_x1d.fits,4.69,70650,COSMOS,1
CAPERS-COSMOS_P1_s000070831_x1d.fits,2.16,70831,COSMOS,1
CAPERS-COSMOS_P1_s000071293_x1d.fits,4.47,71293,COSMOS,1
CAPERS-COSMOS_P1_s000071321_x1d.fits,0.8,71321,COSMOS,1
CAPERS-COSMOS_P1_s000071381_x1d.fits,0.22,71381,COSMOS,1
CAPERS-COSMOS_P1_s000071573_x1d.fits,3.89,71573,COSMOS,1
CAPERS-COSMOS_P1_s000071773_x1d.fits,2.02,71773,COSMOS,1
CAPERS-COSMOS_P1_s000071886_x1d.fits,5.07,71886,COSMOS,1
CAPERS-COSMOS_P1_s000072489_x1d.fits,1.79,72489,COSMOS,1
CAPERS-COSMOS_P1_s000072522_x1d.fits,5.03,72522,COSMOS,1
CAPERS-COSMOS_P1_s000072540_x1d.fits,3.91,72540,COSMOS,1
CAPERS-COSMOS_P1_s000072554_x1d.fits,0.38,72554,COSMOS,1
CAPERS-COSMOS_P1_s000072650_x1d.fits,4.77,72650,COSMOS,1
CAPERS-COSMOS_P1_s000072813_x1d.fits,0.0,72813,COSMOS,1
CAPERS-COSMOS_P1_s000072859_x1d.fits,0.66,72859,COSMOS,1
CAPERS-COSMOS_P1_s000072924_x1d.fits,5.84,72924,COSMOS,1
CAPERS-COSMOS_P1_s000072976_x1d.fits,2.29,72976,COSMOS,1
CAPERS-COSMOS_P1_s000073110_x1d.fits,7.0,73110,COSMOS,1
CAPERS-COSMOS_P1_s000073128_x1d.fits,6.8,73128,COSMOS,1
CAPERS-COSMOS_P1_s000073207_x1d.fits,3.12,73207,COSMOS,1
CAPERS-COSMOS_P1_s000073315_x1d.fits,4.48,73315,COSMOS,1
CAPERS-COSMOS_P1_s000073528_x1d.fits,2.55,73528,COSMOS,1
CAPERS-COSMOS_P1_s000073646_x1d.fits,6.35,73646,COSMOS,1
CAPERS-COSMOS_P1_s000073707_x1d.fits,2.1,73707,COSMOS,1
CAPERS-COSMOS_P1_s000073825_x1d.fits,3.56,73825,COSMOS,1
CAPERS-COSMOS_P1_s000073837_x1d.fits,0.68,73837,COSMOS,1
CAPERS-COSMOS_P1_s000073866_x1d.fits,2.76,73866,COSMOS,1
CAPERS-COSMOS_P1_s000073892_x1d.fits,6.74,73892,COSMOS,1
CAPERS-COSMOS_P1_s000073900_x1d.fits,2.04,73900,COSMOS,1
CAPERS-COSMOS_P1_s000074306_x1d.fits,5.83,74306,COSMOS,1
CAPERS-COSMOS_P1_s000074429_x1d.fits,1.97,74429,COSMOS,1
CAPERS-COSMOS_P1_s000074453_x1d.fits,2.91,74453,COSMOS,1
CAPERS-COSMOS_P1_s000074508_x1d.fits,4.0,74508,COSMOS,1
CAPERS-COSMOS_P1_s000074710_x1d.fits,1.78,74710,COSMOS,1
CAPERS-COSMOS_P1_s000074783_x1d.fits,5.82,74783,COSMOS,1
CAPERS-COSMOS_P1_s000074901_x1d.fits,3.32,74901,COSMOS,1
CAPERS-COSMOS_P1_s000075242_x1d.fits,0.7,75242,COSMOS,1
CAPERS-COSMOS_P1_s000075314_x1d.fits,1.43,75314,COSMOS,1
CAPERS-COSMOS_P1_s000075525_x1d.fits,1.03,75525,COSMOS,1
CAPERS-COSMOS_P1_s000075538_x1d.fits,6.85,75538,COSMOS,1
CAPERS-COSMOS_P1_s000075555_x1d.fits,5.26,75555,COSMOS,1
CAPERS-COSMOS_P1_s000075957_x1d.fits,2.1,75957,COSMOS,1
CAPERS-COSMOS_P1_s000076712_x1d.fits,1.78,76712,COSMOS,1
CAPERS-COSMOS_P1_s000076799_x1d.fits,6.01,76799,COSMOS,1
CAPERS-COSMOS_P1_s000077529_x1d.fits,4.07,77529,COSMOS,1
CAPERS-COSMOS_P1_s000077762_x1d.fits,0.68,77762,COSMOS,1
CAPERS-COSMOS_P1_s000077785_x1d.fits,4.9,77785,COSMOS,1
CAPERS-COSMOS_P1_s000077876_x1d.fits,4.76,77876,COSMOS,1
CAPERS-COSMOS_P1_s000078183_x1d.fits,2.95,78183,COSMOS,1
CAPERS-COSMOS_P1_s000078485_x1d.fits,3.83,78485,COSMOS,1
CAPERS-COSMOS_P1_s000078498_x1d.fits,1.08,78498,COSMOS,1
CAPERS-COSMOS_P1_s000078510_x1d.fits,2.91,78510,COSMOS,1
CAPERS-COSMOS_P1_s000078522_x1d.fits,1.84,78522,COSMOS,1
CAPERS-COSMOS_P1_s000078535_x1d.fits,0.37,78535,COSMOS,1
CAPERS-COSMOS_P1_s000078542_x1d.fits,5.51,78542,COSMOS,1
CAPERS-COSMOS_P1_s000078700_x1d.fits,5.5,78700,COSMOS,1
CAPERS-COSMOS_P1_s000078710_x1d.fits,0.83,78710,COSMOS,1
CAPERS-COSMOS_P1_s000078771_x1d.fits,5.51,78771,COSMOS,1
CAPERS-COSMOS_P1_s000078796_x1d.fits,5.51,78796,COSMOS,1
CAPERS-COSMOS_P1_s000078923_x1d.fits,4.08,78923,COSMOS,1
CAPERS-COSMOS_P1_s000078944_x1d.fits,3.46,78944,COSMOS,1
