ID,ra,dec,z_med,z_UNICORN,flux_F277W,flux_F356W,flux_F444W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
159638,34.25926184111992,-5.137699385904603,,1.7200000000000013,27.487139791619924,27.38555714506553,27.34602982979299,7,3,0,0,6,5689.6671,Midpoint
152321,34.439002240618485,-5.153370393283716,,2.26,28.240971018945032,28.405193762520263,28.130123276645428,6,2,6,0,0,5689.6671,Midpoint
16690,34.471357422679446,-5.160015060734087,,1.6900000000000013,23.63684179477275,23.592732245351915,23.54253832017553,6,1,6,0,6,11379.3342,Midpoint
17306,34.48200106435185,-5.1626865038780165,,1.6900000000000013,23.985525472408284,23.92675880191276,23.96987623216871,6,1,6,0,0,5689.6671,Midpoint
23663,34.51394727644587,-5.191787933267856,,1.6900000000000013,24.33588650816594,24.270125040135746,24.205777922983827,6,1,6,6,0,11379.3342,Midpoint
7599,34.468059902222336,-5.122161463729934,,1.6900000000000013,24.956175258812685,24.99831239725705,24.96031405157125,6,2,6,0,0,5689.6671,Midpoint
12817,34.40589434698445,-5.144865681165572,,1.6900000000000013,20.81088440531664,20.58648244275318,20.41983540532,6,2,6,0,6,11379.3342,Midpoint
25410,34.447672993321866,-5.2005648552873325,,1.6900000000000013,24.49693088586692,24.451739999210595,24.368564303103,6,5,2,0,0,1896.5557,Midpoint
28227,34.47045309313135,-5.21584182056328,,1.6900000000000013,22.47682838285508,22.24897578385184,22.12664137970728,6,5,6,0,0,5689.6671,Midpoint
2222,34.25783026837652,-5.095180790538556,,1.6900000000000013,25.87669886990741,25.792638627172096,25.762885698093463,6,3,0,6,0,5689.6671,Midpoint
6806,34.4691334389617,-5.1182542963093525,,1.6900000000000013,22.31646763653525,22.04853927073408,21.87776480034061,6,2,0,0,4,3793.1114,Midpoint
7631,34.461674338250894,-5.122348563105625,,1.6900000000000013,24.890863773101017,24.94623057642508,24.904401332287485,6,2,0,0,6,5689.6671,Midpoint
13192,34.428366044334574,-5.146112672508753,,1.6900000000000013,23.451976952839367,23.3589547243201,23.261861647707875,6,2,0,0,6,5689.6671,Midpoint
12611,34.24324134993647,-5.143518208506793,,1.6900000000000013,25.848097410829453,25.91963130001889,25.91829123375516,6,3,0,0,6,5689.6671,Midpoint
23064,34.48040199883712,-5.188485803668096,,1.6600000000000013,25.94944697096134,25.97187190531082,25.95275279269766,6,1,6,0,6,11379.3342,Midpoint
13472,34.43881168138181,-5.147166175174106,,1.6600000000000013,26.34195421538527,26.330357121811097,26.29665014696382,6,2,6,0,0,5689.6671,Midpoint
150155,34.461832332479226,-5.147920770591805,,1.6600000000000013,28.06803940793729,27.95186761231636,28.12953269384465,6,2,4,0,0,3793.1114,Midpoint
501,34.23038463669082,-5.084277023082383,,1.6600000000000013,23.39126406736989,23.39415135213891,23.309344480801823,6,3,0,6,6,11379.3342,EOSA
25083,34.445261632122204,-5.199025949545876,,1.6600000000000013,23.93225080881452,23.84116392028541,23.78001847733384,6,5,4,0,0,3793.1114,Midpoint
33114,34.41131899497267,-5.238993641789242,,1.6600000000000013,24.670791305936607,24.644880049011984,24.659372104677523,6,5,6,0,0,5689.6671,Midpoint
