ID,ra,dec,z_med,z_UNICORN,flux_F277W,flux_F356W,flux_F444W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
144536,34.46481990025383,-5.120976199646962,,3.609999999999991,27.21862830275184,27.535338303774168,27.369649464726884,63,2,0,0,6,5689.6671,Midpoint
3226,34.239116051031715,-5.101127487714674,,3.609999999999991,25.68676285797231,25.56593996885379,25.53957692840044,63,3,0,0,6,5689.6671,Midpoint
58919,34.51173979131576,-5.296340177878578,,3.609999999999991,27.231109484896443,27.599639090809944,27.50169010618308,63,4,0,0,6,5689.6671,Midpoint
22501,34.32502834615776,-5.185494690795886,,1.6000000000000012,23.214740337101446,22.993388083086508,22.86198608706687,63,6,0,6,0,5689.6671,Midpoint
139408,34.45488813009642,-5.127633131588108,,4.869999999999996,28.49928742415548,28.25496872399458,28.82472857802012,62,2,0,0,6,5689.6671,Midpoint
69805,34.33953975755718,-5.271765401084533,,5.259999999999999,28.421794203290297,28.63992062002164,28.337551497187462,61,7,0,6,0,5689.6671,Midpoint
146878,34.42257125414864,-5.142795008023739,,3.579999999999991,27.542545108718343,27.730859284527043,27.11272095248316,61,2,6,0,0,5689.6671,Midpoint
4831,34.25130649917165,-5.108717623473005,,3.579999999999991,24.351099891662315,24.576972892130044,24.429265033355968,61,3,6,6,6,17069.0013,EOSA
131278,34.26164620956625,-5.109922918164224,,3.579999999999991,27.562993295765487,28.579536317067927,28.662824022676084,61,3,6,0,0,5689.6671,Midpoint
22285,34.32519172042361,-5.184400318274451,,3.579999999999991,24.36714034241209,23.930041698832586,23.24211036878858,61,6,4,4,0,7586.2228,Midpoint
95365,34.314248612615096,-5.214975865571906,,3.579999999999991,26.856905685821573,27.086223551639613,26.90010840308566,61,6,0,6,0,5689.6671,Midpoint
43569,34.288029124793475,-5.286380159636133,,3.579999999999991,25.77582519600592,25.97625793003949,25.77146526629962,61,7,0,6,0,5689.6671,Midpoint
77899,34.48471638976348,-5.254326372692976,,3.579999999999991,27.89186551971897,28.110676983266067,28.225855124761026,61,4,0,0,6,5689.6671,Midpoint
149210,34.41777352123379,-5.147017358065554,,4.329999999999991,28.152585037882,28.371515738221767,28.36344040554559,60,2,6,0,0,5689.6671,Midpoint
143391,34.267187734438096,-5.135434159767265,,4.569999999999993,28.33139125652348,28.20386332412996,28.728163843375384,59,3,0,6,0,5689.6671,Midpoint
38726,34.52115902475477,-5.26403818434585,,3.5499999999999914,25.99101383806645,26.815312890302664,26.74958239532299,59,4,6,0,0,5689.6671,Midpoint
4557,34.42015017634566,-5.107466473552996,,3.5499999999999914,25.987831320963004,26.44423312798805,26.38005016592489,59,2,0,6,6,11379.3342,Midpoint
13349,34.44038755840662,-5.146757213001471,,3.5499999999999914,23.69610108632772,23.537731039019768,23.35345699748055,59,2,0,6,0,5689.6671,Midpoint
128329,34.435145832971024,-5.101737184951137,,3.5499999999999914,26.889245810488305,26.97887835185964,26.90672134293206,59,2,0,6,0,5689.6671,Midpoint
36012,34.46689217981219,-5.251938776773344,,3.5499999999999914,24.33113110311303,24.30513985200076,24.04089269933634,59,5,0,6,6,11379.3342,EOSA
42932,34.504184351006025,-5.283054378860223,,3.5499999999999914,26.13189393805201,26.516384517853524,26.31635305579686,59,4,0,0,6,5689.6671,Midpoint
44913,34.49828910090134,-5.292913253712256,,3.5499999999999914,27.19310950920272,27.453483153071183,27.270764344985523,59,4,0,0,6,5689.6671,Midpoint
151883,34.42158075659276,-5.1522197195793,,4.839999999999995,28.262073276299432,28.33940682457793,30.582568677310498,58,2,6,6,6,17069.0013,Midpoint
