id;bayes.universe.redshift;bayes.universe.redshift_err;best.universe.redshift;best.chi_square;best.reduced_chi_square
117381;5.969999999936031;7.998092184242887e-07;5.97;523.6666459227599;1.522286761403372
117414;0.2718237042137334;0.054800969052474634;0.27;336.4412403159487;0.9477218037068976
117504;3.9799999999507176;7.020145845392452e-07;3.98;230.06907909123163;0.8072599266359004
117620;2.231079034362418;0.17663196220347022;2.31;261.3459000539986;0.7732127220532503
117640;5.500089722264529;0.0009429594691999241;5.5;329.4829577819851;0.9076665503635952
117663;4.448361035640123;2.2519604140688765;7.21;173.52417893179503;0.6858663198885179
117960;3.3399998957878507;3.2292350742743384e-05;3.34;347.06711339101486;1.0177921213812753
117969;3.0817208841159887;0.0047641272983977795;3.08;186.45509456653497;0.590047767615617
118225;1.3709590270718004;0.1228783955537424;1.3900000000000001;242.8821355231264;0.7637803003871899
118327;3.8800422960738183;0.0006489774883121672;3.88;253.11243237252006;0.9039729727590002
118331;2.613733458145882;0.908542345105164;2.5;132.5421337895772;0.5058860068304474
118488;7.0;1.605229429160752e-08;7.0;90.92984789330856;0.635873062190969
119180;1.876502403846156;4.976684131839081;0.0;0.0;-0.0
119232;2.090110255497331;0.0010442222952972893;2.09;337.1688806375448;0.9212264498293574
119472;2.734236933055367;0.009894610305889192;2.74;127.70546917740674;0.545749868279516
119487;3.0359846628355274;0.006092945345312822;3.04;282.32749375448986;0.793054757737331
119497;2.497511256735227;0.05696255000344431;2.49;281.64843404072445;0.7737594341778145
119518;3.586440606320504;0.005567149084071611;3.59;141.58345275636205;0.5038557037592956
119540;3.8574947125792085;0.11123413193256822;3.87;159.2930731261841;0.5121963766115245
145668;4.006913226469639;0.46702190630933066;4.16;470.69979191450346;1.2518611487087858
147757;3.1199999999999997;1.1775419210329624e-10;3.12;381.8037486690775;1.1098946182240625
148356;3.5295380768617184;0.002183301790514938;3.5300000000000002;265.0672754301629;0.734258380692972
149170;7.429999992426856;8.702377084071408e-06;7.43;291.4364510052789;0.9555293475582916
149392;1.6632879157325993;0.10253872970797559;1.6600000000000001;189.43646214612934;0.5938447089220356
149408;2.136873654890101;0.11873829806329128;2.06;258.463736665519;0.7219657448757514
149663;6.170000666138075;8.169426019928006e-05;6.17;90.50076396343339;0.5621165463567291
150553;4.150024340037792;0.002409143997058928;4.15;149.3099305427325;0.5166433582793513
150683;3.9136939391430503;0.06748688189535897;3.92;226.0964690466149;0.6478408855203865
151195;1.3742607093103225;0.018105983064387054;1.37;195.97399034491679;0.5993088389752806
151218;4.160000326183102;5.776312034172814e-05;4.16;250.76640330947703;0.8276118921104852
151487;3.3902778359797012;0.6721509290697076;3.43;119.81146579150273;0.4487320816161151
