              sample          id                                      file   z_manual                                                           Notes
151  CAPERS_UDS_V0.1  s000033306  CAPERS_UDS_P5_s000033306_x1d_optext.fits   1.520000                                                                
152  CAPERS_UDS_V0.1  s000033326  CAPERS_UDS_P5_s000033326_x1d_optext.fits   1.910486                                                                
153  CAPERS_UDS_V0.1  s000033532  CAPERS_UDS_P5_s000033532_x1d_optext.fits   0.783227                                                                
154  CAPERS_UDS_V0.1  s000033555  CAPERS_UDS_P5_s000033555_x1d_optext.fits   1.631050                                                                
155  CAPERS_UDS_V0.1  s000030481  CAPERS_UDS_P5_s000030481_x1d_optext.fits   3.810000                                                                
156  CAPERS_UDS_V0.1  s000104491  CAPERS_UDS_P1_s000104491_x1d_optext.fits   3.710000                                                                
157  CAPERS_UDS_V0.1  s000030027  CAPERS_UDS_P5_s000030027_x1d_optext.fits   4.430000                                                                
158  CAPERS_UDS_V0.1  s000029970  CAPERS_UDS_P5_s000029970_x1d_optext.fits   2.765385                                                                
159  CAPERS_UDS_V0.1  s000027031  CAPERS_UDS_P5_s000027031_x1d_optext.fits   1.932708                                                                
160  CAPERS_UDS_V0.1  s000027120  CAPERS_UDS_P5_s000027120_x1d_optext.fits   1.474896                                                                
161  CAPERS_UDS_V0.1  s000027211  CAPERS_UDS_P5_s000027211_x1d_optext.fits   3.314072                                                                
162  CAPERS_UDS_V0.1  s000027685  CAPERS_UDS_P5_s000027685_x1d_optext.fits   1.480803                                                                
163  CAPERS_UDS_V0.1  s000027713  CAPERS_UDS_P5_s000027713_x1d_optext.fits   0.685952                                                                
164  CAPERS_UDS_V0.1  s000027720  CAPERS_UDS_P5_s000027720_x1d_optext.fits   2.390000                                                                
165  CAPERS_UDS_V0.1  s000027822  CAPERS_UDS_P5_s000027822_x1d_optext.fits   4.140000                                                                
166  CAPERS_UDS_V0.1  s000027837  CAPERS_UDS_P5_s000027837_x1d_optext.fits   2.945498                                                                
167  CAPERS_UDS_V0.1  s000027878  CAPERS_UDS_P5_s000027878_x1d_optext.fits   2.610000                                                                
168  CAPERS_UDS_V0.1  s000027904  CAPERS_UDS_P5_s000027904_x1d_optext.fits   0.740679                                                                
169  CAPERS_UDS_V0.1  s000028227  CAPERS_UDS_P5_s000028227_x1d_optext.fits   1.935098                                                                
170  CAPERS_UDS_V0.1  s000028312  CAPERS_UDS_P5_s000028312_x1d_optext.fits   1.850000                                                                
171  CAPERS_UDS_V0.1  s000028597  CAPERS_UDS_P5_s000028597_x1d_optext.fits   9.210083                                                                
172  CAPERS_UDS_V0.1  s000028728  CAPERS_UDS_P5_s000028728_x1d_optext.fits   2.236573                                                                
173  CAPERS_UDS_V0.1  s000028819  CAPERS_UDS_P5_s000028819_x1d_optext.fits   2.153210                                                                
174  CAPERS_UDS_V0.1  s000029001  CAPERS_UDS_P5_s000029001_x1d_optext.fits   0.739305                                             Lines_in_absorption
175  CAPERS_UDS_V0.1  s000029002  CAPERS_UDS_P5_s000029002_x1d_optext.fits   0.750000                                                                
176  CAPERS_UDS_V0.1  s000029143  CAPERS_UDS_P5_s000029143_x1d_optext.fits   2.522567                                                                
177  CAPERS_UDS_V0.1  s000029620  CAPERS_UDS_P5_s000029620_x1d_optext.fits   4.800000                                                                
178  CAPERS_UDS_V0.1  s000029998  CAPERS_UDS_P5_s000029998_x1d_optext.fits   3.971526                                                                
179  CAPERS_UDS_V0.1  s000024204  CAPERS_UDS_P1_s000024204_x1d_optext.fits   1.488379                                                                
180  CAPERS_UDS_V0.1  s000104546  CAPERS_UDS_P1_s000104546_x1d_optext.fits   4.890000                                                                
181  CAPERS_UDS_V0.1  s000104948  CAPERS_UDS_P1_s000104948_x1d_optext.fits   0.721391                                                                
182  CAPERS_UDS_V0.1  s000136251  CAPERS_UDS_P2_s000136251_x1d_optext.fits   1.788531                                                                
