id,bayes.universe.redshift,bayes.universe.redshift_err,best.universe.redshift
93940,1.6317927207992753,0.836511589388785,2.22
94051,4.599798871551696,0.0014039355854393726,4.6000000000000005
94154,0.8269155097894502,0.08568213222867838,0.79
94301,5.05000000004755,1.1433084838675148e-05,5.05
94325,0.775108282506116,0.14497546624466676,0.89
94363,1.1041335560386716,0.06171387563553683,1.16
94387,2.2283773425346487,0.003695128993299577,2.23
94422,3.9858597459637686,0.4269561815990973,3.94
94471,1.9163856625942362,0.0067292559187481565,1.92
94603,3.580505904812667,0.10737835953400791,3.2800000000000002
94681,0.7877368612201132,0.02217680185043018,0.79
94690,1.5305382535838015,0.06415629659970269,1.6
94789,2.404513168589344,0.16975086352841925,2.18
94962,3.569540060998919,0.6763074918557709,3.8200000000000003
94985,3.71,8.428597177732417e-10,3.71
95066,4.44073411405657,0.0026081060403588133,4.44
95095,6.559799512790425,0.009548003293830582,6.5600000000000005
95184,3.5000866528361794,0.0009389578696411164,3.5
95234,5.229996261517875,0.0002158035726654494,5.23
95360,4.4204519368142074,0.002077286994700974,4.42
95365,3.2994133736912854,0.3923919351647765,3.5100000000000002
95413,4.010000000147265,1.2135429898540713e-06,4.01
95715,2.5130229677181775,0.5326180157094521,3.24
95744,2.300000000146794,1.211580742985804e-06,2.3000000000000003
95747,3.6405941512997635,0.0025660644561420797,3.64
95782,7.240000000000001,6.744414690495839e-12,7.24
95796,8.28,1.7036498273871098e-14,8.28
95814,0.8085441084519337,0.06104947839683802,0.84
95853,2.9671974214356434,0.013361878559306267,2.97
95861,3.600000000000001,1.9990514752034584e-09,3.6
95929,1.276599792644689,0.058924415979648835,1.27
95956,5.220000009841814,9.967248273825609e-06,5.22
95999,5.9700000000000175,1.333259914420969e-08,5.97
96086,2.121745464719208,0.07367936630707747,2.17
96205,1.922004740042598,0.008978417282603604,1.92
96334,9.600000025225974,1.5883693625688218e-05,9.6
96351,1.4547414400916696,0.06213576755085844,1.45
96504,5.140057437088432,0.02045452970593358,5.14
96539,2.7200000000430546,7.432200132995165e-07,2.72
96551,3.7258591724131978,1.0584361288279425,2.04
96580,6.090024158599523,0.0004909199092618195,6.09
96594,1.470000027856705,1.923164825241222e-05,1.47
96595,7.658391215719909,6.826078982616085,3.74
96647,1.3274734648440019,0.407679762991928,1.48
96660,1.7116129053745468,0.010092708657392735,1.72
