#file	Best_z	Cand_z_2	Cand_z_3	Cand_z_4
CAPERS_UDS_P1_s000100661_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000015554_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000151218_x1d.fits	4.1681	5.9496	nan	nan
CAPERS_UDS_P1_s000025316_x1d.fits	1.1717	nan	nan	nan
CAPERS_UDS_P1_s000017775_x1d.fits	4.5282	6.4298	nan	nan
CAPERS_UDS_P1_s000111589_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000100012_x1d.fits	2.3673	3.5438	nan	nan
CAPERS_UDS_P1_s000111918_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000025079_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000115878_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000151644_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000021545_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000110910_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000151887_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000106041_x1d.fits	3.6975	5.3157	nan	nan
CAPERS_UDS_P1_s000104320_x1d.fits	2.4874	0.7779	3.6927	nan
CAPERS_UDS_P1_s000024742_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000098823_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000018900_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000015420_x1d.fits	3.6014	5.1861	nan	nan
CAPERS_UDS_P1_s000149408_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000151778_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000017601_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016261_x1d.fits	1.479	2.3481	nan	nan
CAPERS_UDS_P1_s000015795_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000152698_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000119518_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016951_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000103610_x1d.fits	3.1981	4.6531	nan	nan
CAPERS_UDS_P1_s000113670_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000026515_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023943_x1d.fits	4.048	5.7815	nan	nan
CAPERS_UDS_P1_s000024228_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000021089_x1d.fits	0.6531	1.1429	1.1573	4.6867
CAPERS_UDS_P1_s000024481_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000018161_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022752_x1d.fits	5.5366	3.8559	nan	nan
CAPERS_UDS_P1_s000114336_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016038_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016866_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016690_x1d.fits	1.7047	nan	nan	nan
CAPERS_UDS_P1_s000023401_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000021760_x1d.fits	3.467	5.0084	nan	nan
CAPERS_UDS_P1_s000153567_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000111363_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016602_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000018197_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023216_x1d.fits	2.2713	nan	nan	nan
CAPERS_UDS_P1_s000116640_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024063_x1d.fits	6.0264	nan	nan	nan
CAPERS_UDS_P1_s000154363_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000113839_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024204_x1d.fits	2.2665	nan	nan	nan
CAPERS_UDS_P1_s000018582_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000112334_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000151496_x1d.fits	4.8836	6.7179	6.9004	nan
CAPERS_UDS_P1_s000022215_x1d.fits	1.7911	2.7467	0.2737	nan
CAPERS_UDS_P1_s000019361_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000152627_x1d.fits	4.4562	6.3289	nan	nan
CAPERS_UDS_P1_s000114779_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000111625_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000103071_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016345_x1d.fits	3.3325	4.8211	nan	nan
CAPERS_UDS_P1_s000157001_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000017157_x1d.fits	0.9076	2.377	2.3385	2.3049
CAPERS_UDS_P1_s000013358_x1d.fits	3.5342	5.114	nan	nan
CAPERS_UDS_P1_s000014832_x1d.fits	4.5906	6.3241	6.3433	6.2953
CAPERS_UDS_P1_s000016935_x1d.fits	4.1537	5.94	nan	nan
CAPERS_UDS_P1_s000149170_x1d.fits	7.3661	1.2389	2.8331	2.2713
CAPERS_UDS_P1_s000018640_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000014059_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000014150_x1d.fits	1.892	2.9148	nan	nan
CAPERS_UDS_P1_s000024307_x1d.fits	3.4382	0.6771	7.3854	2.2905
CAPERS_UDS_P1_s000022269_x1d.fits	3.5246	2.3337	2.3577	nan
CAPERS_UDS_P1_s000119232_x1d.fits	2.0792	3.1549	nan	nan
CAPERS_UDS_P1_s000026127_x1d.fits	5.3253	7.5006	nan	nan
CAPERS_UDS_P1_s000014722_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000104948_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016184_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000152788_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024781_x1d.fits	6.6987	nan	nan	nan
CAPERS_UDS_P1_s000101814_x1d.fits	3.0396	4.437	nan	nan
CAPERS_UDS_P1_s000148356_x1d.fits	5.09	3.515	nan	nan
CAPERS_UDS_P1_s000103792_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016781_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000013388_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000106615_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000017186_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024279_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000018867_x1d.fits	2.3097	1.5366	3.4574	nan
CAPERS_UDS_P1_s000023583_x1d.fits	3.2173	1.1477	4.6675	nan
CAPERS_UDS_P1_s000023419_x1d.fits	5.5126	nan	nan	nan
CAPERS_UDS_P1_s000153587_x1d.fits	2.9484	4.3121	nan	nan
CAPERS_UDS_P1_s000023248_x1d.fits	3.1453	1.1188	4.581	nan
CAPERS_UDS_P1_s000117504_x1d.fits	3.9616	5.6903	1.2725	nan
CAPERS_UDS_P1_s000022660_x1d.fits	0.8499	2.6074	nan	nan
CAPERS_UDS_P1_s000119487_x1d.fits	3.0108	4.4082	nan	nan
CAPERS_UDS_P1_s000025000_x1d.fits	3.7215	5.3397	nan	nan
CAPERS_UDS_P1_s000105697_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016730_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022495_x1d.fits	3.2125	4.6627	nan	nan
CAPERS_UDS_P1_s000013338_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000015329_x1d.fits	2.2569	3.4046	7.3854	0.6771
CAPERS_UDS_P1_s000149392_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022932_x1d.fits	1.4742	2.2665	nan	nan
CAPERS_UDS_P1_s000016352_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023663_x1d.fits	1.623	nan	nan	nan
CAPERS_UDS_P1_s000101395_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024090_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000116755_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000014950_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000021205_x1d.fits	1.1525	nan	nan	nan
CAPERS_UDS_P1_s000116200_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022763_x1d.fits	4.1441	5.9256	nan	nan
CAPERS_UDS_P1_s000025099_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000115902_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000154150_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000015354_x1d.fits	1.9592	2.9916	nan	nan
CAPERS_UDS_P1_s000113701_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000018118_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000017647_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000105528_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024311_x1d.fits	6.0936	4.4178	4.2641	nan
CAPERS_UDS_P1_s000022018_x1d.fits	1.1044	6.9388	nan	nan
CAPERS_UDS_P1_s000105420_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000013297_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000102762_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000012239_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000025034_x1d.fits	3.6927	5.3061	nan	nan
CAPERS_UDS_P1_s000017103_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000100800_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023089_x1d.fits	2.2713	3.4046	nan	nan
CAPERS_UDS_P1_s000018754_x1d.fits	6.1513	nan	nan	nan
CAPERS_UDS_P1_s000102182_x1d.fits	5.2245	7.3613	7.1212	nan
CAPERS_UDS_P1_s000105225_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000104422_x1d.fits	5.3397	3.7071	nan	nan
CAPERS_UDS_P1_s000025289_x1d.fits	5.4742	nan	nan	nan
CAPERS_UDS_P1_s000019769_x1d.fits	4.5234	6.4394	nan	nan
CAPERS_UDS_P1_s000024286_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000151487_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000103270_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000153329_x1d.fits	2.5402	3.7647	nan	nan
CAPERS_UDS_P1_s000102537_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000017799_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000114291_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024709_x1d.fits	0.8307	1.4454	nan	nan
CAPERS_UDS_P1_s000105799_x1d.fits	2.5594	nan	nan	nan
CAPERS_UDS_P1_s000015984_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000152419_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024145_x1d.fits	2.7659	4.0576	0.922	nan
CAPERS_UDS_P1_s000019765_x1d.fits	2.7515	4.0384	nan	nan
CAPERS_UDS_P1_s000100728_x1d.fits	4.3553	6.2041	nan	nan
CAPERS_UDS_P1_s000014381_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000020302_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000020431_x1d.fits	2.3049	3.4526	nan	nan
CAPERS_UDS_P1_s000023157_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000025039_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000014707_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016354_x1d.fits	nan	nan	nan	nan
